fecha,tipo_transacción,precio_inmueble,datos,barrio,expensas,descripcion
20230613,venta_inmueble,USD 96.500, 40 m²   40 m²   37 m²   37 m²   1 amb.   1 amb.   1 baño   1 baño  ,"Boedo, Capital Federal",$ 4.600 Expensas,"Entrás a vivir a tu departamento con el 60% del precio, el restante 40% en 12, 24 o 36 cuotas pesos ajustadas por cac. Departamento a estrenar! Para entrar a vivir ya mismo! Edificio en esquina, con orientación ne, cuenta con unidades al frente con balcones, lo que permite una mayor participación visual y óptima ventilación. Ubicado en pleno barrio de Boedo, a metros de Av Pavón y a cuadras de Av San Juan. Accesos a Subte línea ""E"" y varias líneas de colectivos. Moderno monoambiente con balcón al frente. Cocina a gas integrada con muebles bajo mesada y alacena de alta calidad de diseño. Espacio para heladera y lavarropas. Mesada de Granito. Pisos de Porcelanato. Baño completo moderno con ventilacion forzada. Placard. Split frio/calor. Agua caliente central por termotanque. Portero eléctrico, cámaras de seguridad, puertas blindadas y vidrios doble costura para evitar ruidos externos. Honorarios + Iva - Daniel Montaña Matrícula Nº 412 C. U. C. I. C. B. A. Aviso legal que conste: Que las descripciones -Medidas -Superficies –Antigüedad -M2. -Valores de Impuestos – Servicios – Expensas indicados - ""Son aproximados y sujetos a verificación y/o ajuste sin previo aviso"" - Fotos – Vídeos, planos de carácter no contractual -. “Todos los datos fueron proporcionados por la parte propietaria y pueden no estar actualizados y/o tener inexactitudes y discordancias con títulos o reglamentos. La parte interesada debe realizar previas verificaciones antes del momento de realizar la operación, requiriendo por si o sus profesionales la verificación de la documentación que corresponda. - Venta supeditada a que la parte propietaria cumpla con los requisitos de las gestiones de la resolución general Nº 2371 de la afip. Pedido de coti) Datos de contacto: Local Caballito - Av. Rivadavia 4621 - Ver datos -- Local Barrio Norte - Av Santa Fe 2309 - Ver datos-- Local Boedo - Av Pavón 4024 - Ver datos"
20230613,venta_inmueble,USD 300.000, 106 m²   106 m²   92 m²   92 m²   3 amb.   3 amb.   2 dorm.   2 dorm.   2 baños   2 baños   1 coch.   1 coch.  ,"Recoleta, Capital Federal",$ 37.000 Expensas,"Departamento de 3 ambientes con dependencias, al frente con vista a la plaza Monseñor Miguel de Andrea, seguridad por tótem, palier privado, muy luminoso, la unidad consta de Living comedor con salida a balcón corrido, toilette, 2 cuartos, el principal en suite, cocina con comedor diario, dependencia con su baño, cochera fija y cubierta, baulera, muy buen estado general. "
20230613,venta_inmueble,USD 78.000, 44 m²   44 m²   41 m²   41 m²   2 amb.   2 amb.   1 dorm.   1 dorm.   1 baño   1 baño  ,"Villa Crespo, Capital Federal",$ 12.130 Expensas,"En una ubicacion excelente 2 de cordoba 2 de estado. de israel 3 de corrientes 1 de scalabrini super luminoso. todo externo - cocina separada - parquet en living. entblonado tarugado en dormitorio pintura perfecta. Colectivos: 15, 19, 24, 36, 57, 71, 90, 92, 99, 106, 109, 110, 124, 127, 140, 141, 151, 168 subte angel gallardo (Línea B) Información adicional: Categoría del edificio: Buena. Tipo de edificio: Antiguo. Ascensores principales: 1. Agua caliente: Calefón. Estado de la propiedad: Excelente. Categoría del edificio: Buena. Habitaciones: 1. Servicios: Electricidad. Pavimento. Cloacas. Gas. Agua Corriente. Videocable. Características: Balcón"
20230613,venta_inmueble,USD 360.000, 265 m²   265 m²   131 m²   131 m²   4 amb.   4 amb.   3 dorm.   3 dorm.   2 baños   2 baños   2 coch.   2 coch.  ,"Villa Urquiza, Capital Federal",,"Corredor Responsable: Ariel Champanier cucicba 4330 / Andrea Berré cmcpsi 6763- Contacto: Daniel Endler - mls id # Ver datos. Si lo que están buscando es vivir en una zona residencial y tranquila en Villa Urquiza; en una casa que cuente con un hermoso jardín, pileta y un disfrutable quincho con parrilla; amplia Cocina con comedor diario con vista al jardín, un acogedor living-comedor y su correspondiente toilette de recepción; 3 dormitorios en la primera planta, el principal en suite con un muy buen vestidor, otro baño completo y en la siguiente planta un cuarto dormitorio o dependencia de servicio, sumado a un lavadero; ésta es seguramente la vivienda que están buscando! Tiene además, al frente, espacio para el ingreso de dos autos. La superficie total del Tríplex es de 265 m2. La superficie cubierta 131 m2. Buena distribución y excelente estado. Remax Argentina S. R. L. No ejerce el corretaje inmobiliario. El presente sitio web es una plataforma en donde cada oficina inmobiliaria independiente que contrata los servicios re/max puede publicar las propiedades a su cargo. Cada oficina es de propiedad y gestión independiente, por lo que Remax Argentina S. R. L no interviene en los datos de la publicación, en la operación inmobiliaria, ni en la confección y/o firma del boleto de compraventa y/o escritura y/o contrato de alquiler. En cumplimiento de las leyes vigentes que regulan el corretaje inmobiliario, Ley Nacional 25. 028, Ley 22. 802 de Lealtad Comercial, Ley 24. 240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los agentes/gestores no ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del corredor público inmobiliario colegiado a cargo de la publicación, cuyos datos se exhiben en la presente. La presente publicación describe las características esenciales del inmueble, debiéndose consultar al corredor público inmobiliario responsable de la operación por la eventual actualización de las medidas, descripciones arquitectónicas y funcionales, valores de expensas, servicios, impuestos, precios y demás información, cuyos valores son aproximados. El inmueble no es accesible para personas con discapacidades físicas. Comprá la casa que querés! No la que podés. Accedé a un préstamo por hasta el 30% del valor de esta propiedad. Simulá tu cuota en Lendar"
20230613,venta_inmueble,USD 115.000, 112 m²   112 m²   40 m²   40 m²   2 amb.   2 amb.   1 dorm.   1 dorm.   1 baño   1 baño   1 coch.   1 coch.  ,"Belgrano, Capital Federal",$ 28.000 Expensas,"Exclusivo departamento de 2 ambientes con amplio y hermoso patio con parrilla en Belgrano. La unidad se encuentra en excelente estado, living comedor con ventanal hacia el jardín al igual que el dormitorio. Cocina con lavadero independiente y patio interno. Muy luminoso, calefacción por losa radiante y agua caliente mediante calefón.  Cochera cubierta en subsuelo ( valor adicional en el precio: u$d 15. 000). Con cercanía a todas las redes de tránsito, locales comerciales, Avenidas Monroe, Cramer y Cabildo. Zona muy segura. En cumplimiento de la leyes provinciales vigentes que regulan el corretaje inmobiliario, Ley Nacional 25. 028, Ley 22. 802 de Lealtad Comercial, Ley 24. 240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los agentes/gestores no ejercen el corretaje inmobiliario, todas las operaciones inmobiliarias son concluidas por el martillero/corredor colegiado, cuyos datos se exhiben a continuación: cucicba Mat 7831 "
20230613,venta_inmueble,USD 690.000, 195 m²   195 m²   132 m²   132 m²   5 amb.   5 amb.   3 dorm.   3 dorm.   2 baños   2 baños  ,"Palermo, Capital Federal",$ 52.997 Expensas,"Excelente departamento triplex en Venta (Renta hasta Enero25) sobre la Avenida del Libertador y Kennedy. Vecino a la Embajada Americana. Reciclado en contrafrente. Son 195 Mts (132 + 63) con terraza. Piso 14: Palier semi-privado. Living/ Comedor a balcon corrido. Cocina abierta incorporada a la recepción. Escritorio o 3er dorm. Toilette. Piso 15: Dos dormitorios con dos baños completos. Principal en Suite con vestidor. Laundry estilo americano en placard. Piso 16: terraza propia de 50 Mts con parrilla & pergola. Vista, luz & sol en todos los ambientes. - Servicios individuales. Calefaccion por losa. - Cuatro aa. - El Ascensor llega hasta el Piso 14. Todos los ambientes se acceden por el depto. - Vigilancia 24 Hs. - Expensas Marzo 2023 $52. 997. - agip Mayo 2023 $12. 005. - Aysa$ - Metrogas según consumo. - Edenor según consumo. En impecable estado, vale la pena visitarlo! — La presente oferta de venta esta condicionada a la confección del coti por parte del propietario. (Res. Afip 2371). Las medidas son aproximadas y orientativas. Las medidas exactas surgirán del titulo de propiedad. Para más información, llámanos al: +54 911 Ver datos. Aviso publicado por Miranda Bosch - Real Estate & Art desde Sumaprop. "
20230613,venta_inmueble,USD 178.000, 61 m²   61 m²   46 m²   46 m²   2 amb.   2 amb.   1 dorm.   1 dorm.   2 baños   2 baños  ,"Palermo Hollywood, Palermo",$ 18.000 Expensas,"Se vende departamento 2 ambientes amplio con terraza propia con parrilla, baño completo Y toilete, A estrenar en soler 5881, pleno Palermo Hollywood. Ideal inversor, A tan solo 3 cuadras de av. Santa fé donde se encuentra una gran cantidad de lineas de colectivos, subte Y A tan solo 6 cuadras del tren. Edificio de categoria, de excelente calidad constructiva. Todos los departamentos cuentan con pisos alemanes de pvc, aberturas dvh, termotanques ariston, griferias fv Y preinstalacion de aires acondicionados. Super luminoso. Doble placard, baño completo, cocina con anafe Y horno eléctricos. Gran balcón terraza con parrilla, con espacio para el lavarropas Y tiene bacha afuera. En la terraza cuenta con pileta Y solarium. Expensas: $18. 000"
20230613,venta_inmueble,USD 1.800.000, 1936 m²   1936 m²  ,"Núñez, Capital Federal",,"Excelente terreno sobre av. Libertador, vista abierta al río.  corredor alto. - Superficie: 280 m2- Frente: 8, 66 m- Fondo: 32, 40 m- Ancho de calle: 36, 00 m- lfi: 16, 55 m- Altura Máxima: 38 m. - Volumen constructivo: pb + 12 pisos + 2 retiros. superficie vendible: 1935 M2. No aplica Plusvalía! Sucursal Botánico Valeria Soldati -cucicba- Mat. Nº 7305Valeria Soldati - cmcpsi - Mat. Nº 6818"
20230613,venta_inmueble,USD 220.000, 60 m²   60 m²   60 m²   60 m²   3 amb.   3 amb.   2 dorm.   2 dorm.   1 baño   1 baño  ,"Recoleta, Capital Federal",$ 2.581 Expensas,". ""Las expensas, abl y Aysa no son exactas y están sujetas a modificaciones""Las medidas son aproximadas y orientativas. Las medidas exactas surgirían del título de propiedad""Venta supeditada al cumplimiento por parte del propietario de los requisitos de la Resolución General 2371 de la afip. ""Las expensas, abl y Aysa no son exactas y están sujetas a modificaciones""""Las medidas son aproximadas y orientativas. Las medidas exactas surgirían del título de propiedad""“Venta supeditada al cumplimiento por parte del propietario de los requisitos de la Resolución General 2371 de la afip. ”"
20230613,venta_inmueble,USD 125.000, 84 m²   84 m²   84 m²   84 m²   3 amb.   3 amb.   2 dorm.   2 dorm.   1 baño   1 baño  ,"Mataderos, Capital Federal",,"Departamento tipo ph 3 ambientes próximo a Barrio Naón, Mataderos. Intersección de las calles Cosquín y Zequeira. Ubicado en primer piso, sin expensas. Se refaccionó a nuevo en el año 2019 incluyendo la instalación de agua, gas y eléctrica. Compuesto por dos dormitorios con vista a la calle (el principal con placard) , un baño completo y un toilette, comedor, amplia cocina con salida a patio con parrilla, living, lavadero con dependencia o cuarto de guarda herramientas, balcón interno y terraza en común para el tendido de ropa. Todos los ambientes con pisos de porcelanato. posible permuta por casa similar valor en Zona Oeste (Ciudad Evita, Aldo Bonzi, aledañas) Esta propiedad cuenta con visita virtual 360º, puede solicitarla por teléfono o WhatsApp. Seguinos en Instagram y Facebook @lopezbalaguerbienesraices "
